会社名,Ticker,総合スコア,環境スコア,社会スコア,ガバナンススコア,PE Ratio (TTM),Price/Book,Enterprise Value/EBITDA
ファーストリテイリング,9983.T,8.14,7.72,8.44,8.22,44.07,8.03,19.42
オンワードホールディングス,8016.T,7.82,7.61,7.88,7.97,9.72,0.94,8.04
ゴールドウイン,8111.T,8.31,7.23,9.27,8.32,14.95,3.54,9.5
ワークマン,7564.T,6.5,7.06,6.38,6.04,22.21,2.72,10
TSIホールディングス,3608.T,7.83,7.04,8.53,7.85,32.56,0.78,10.53
しまむら,8227.T,7.53,7.01,7.91,7.64,14.99,1.27,5.33
ワールド,3612.T,6.93,6.42,6.61,7.89,12.63,1.08,5.56
ユナイテッドアローズ,7606.T,6.06,5.81,6.35,5.97,13.74,2.06,7.18
アダストリア,2685.T,6.28,5.69,6.67,6.44,12.32,2.22,5.27
"パルグループホールディングス	",2726.T,6.56,5.52,6.63,7.63,20.51,4.19,9.64